run_id,scenario,regime,delay,depth,attempted,accepted,unauthorized_accepted,invalid_grants,budget_excess,post_revocation,unsafe_accepted,legitimate_opportunities,legitimate_completed,legitimate_blocked,false_hold_blocks,reports,resolved,resolution_latency,unresolved,spent
split_budget-review-d6-h1,split_budget,review,6,1,4,2,0,0,0,0,0,2,2,0,0,0,0,,0,80
split_budget-review-d6-h3,split_budget,review,6,3,4,2,0,0,0,0,0,2,2,0,0,0,0,,0,80
overdelegate-log-d0-h1,overdelegate,log,0,1,2,2,2,1,0,0,0,0,0,0,0,0,0,,0,20
overdelegate-log-d0-h3,overdelegate,log,0,3,2,2,2,1,0,0,0,0,0,0,0,0,0,,0,20
overdelegate-log-d2-h1,overdelegate,log,2,1,2,2,2,1,0,0,0,0,0,0,0,0,0,,0,20
overdelegate-log-d2-h3,overdelegate,log,2,3,2,2,2,1,0,0,0,0,0,0,0,0,0,,0,20
overdelegate-log-d6-h1,overdelegate,log,6,1,2,2,2,1,0,0,0,0,0,0,0,0,0,,0,20
overdelegate-log-d6-h3,overdelegate,log,6,3,2,2,2,1,0,0,0,0,0,0,0,0,0,,0,20
overdelegate-local-d0-h1,overdelegate,local,0,1,2,2,2,1,0,0,0,0,0,0,0,0,0,,0,20
overdelegate-local-d0-h3,overdelegate,local,0,3,2,2,2,1,0,0,0,0,0,0,0,0,0,,0,20
overdelegate-local-d2-h1,overdelegate,local,2,1,2,2,2,1,0,0,0,0,0,0,0,0,0,,0,20
overdelegate-local-d2-h3,overdelegate,local,2,3,2,2,2,1,0,0,0,0,0,0,0,0,0,,0,20
overdelegate-local-d6-h1,overdelegate,local,6,1,2,2,2,1,0,0,0,0,0,0,0,0,0,,0,20
overdelegate-local-d6-h3,overdelegate,local,6,3,2,2,2,1,0,0,0,0,0,0,0,0,0,,0,20
overdelegate-hierarchy-d0-h1,overdelegate,hierarchy,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
overdelegate-hierarchy-d0-h3,overdelegate,hierarchy,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
overdelegate-hierarchy-d2-h1,overdelegate,hierarchy,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
overdelegate-hierarchy-d2-h3,overdelegate,hierarchy,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
overdelegate-hierarchy-d6-h1,overdelegate,hierarchy,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
overdelegate-hierarchy-d6-h3,overdelegate,hierarchy,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
overdelegate-review-d0-h1,overdelegate,review,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
overdelegate-review-d0-h3,overdelegate,review,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
overdelegate-review-d2-h1,overdelegate,review,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
overdelegate-review-d2-h3,overdelegate,review,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
overdelegate-review-d6-h1,overdelegate,review,6,1,2,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
overdelegate-review-d6-h3,overdelegate,review,6,3,2,0,0,0,0,0,0,0,0,0,0,0,0,,0,0
expired-log-d0-h1,expired,log,0,1,6,6,5,1,0,0,0,1,1,0,0,0,0,,0,60
expired-log-d0-h3,expired,log,0,3,6,6,5,1,0,0,0,1,1,0,0,0,0,,0,60
expired-log-d2-h1,expired,log,2,1,6,6,5,1,0,0,0,1,1,0,0,0,0,,0,60
expired-log-d2-h3,expired,log,2,3,6,6,5,1,0,0,0,1,1,0,0,0,0,,0,60
expired-log-d6-h1,expired,log,6,1,6,6,5,1,0,0,0,1,1,0,0,0,0,,0,60
expired-log-d6-h3,expired,log,6,3,6,6,5,1,0,0,0,1,1,0,0,0,0,,0,60
expired-local-d0-h1,expired,local,0,1,6,4,3,1,0,0,0,1,1,0,0,0,0,,0,40
expired-local-d0-h3,expired,local,0,3,6,4,3,1,0,0,0,1,1,0,0,0,0,,0,40
expired-local-d2-h1,expired,local,2,1,6,4,3,1,0,0,0,1,1,0,0,0,0,,0,40
expired-local-d2-h3,expired,local,2,3,6,4,3,1,0,0,0,1,1,0,0,0,0,,0,40
expired-local-d6-h1,expired,local,6,1,6,4,3,1,0,0,0,1,1,0,0,0,0,,0,40
expired-local-d6-h3,expired,local,6,3,6,4,3,1,0,0,0,1,1,0,0,0,0,,0,40
expired-hierarchy-d0-h1,expired,hierarchy,0,1,6,1,0,0,0,0,0,1,1,0,0,0,0,,0,10
expired-hierarchy-d0-h3,expired,hierarchy,0,3,6,1,0,0,0,0,0,1,1,0,0,0,0,,0,10
expired-hierarchy-d2-h1,expired,hierarchy,2,1,6,1,0,0,0,0,0,1,1,0,0,0,0,,0,10
expired-hierarchy-d2-h3,expired,hierarchy,2,3,6,1,0,0,0,0,0,1,1,0,0,0,0,,0,10
expired-hierarchy-d6-h1,expired,hierarchy,6,1,6,1,0,0,0,0,0,1,1,0,0,0,0,,0,10
expired-hierarchy-d6-h3,expired,hierarchy,6,3,6,1,0,0,0,0,0,1,1,0,0,0,0,,0,10
expired-review-d0-h1,expired,review,0,1,6,1,0,0,0,0,0,1,1,0,0,0,0,,0,10
expired-review-d0-h3,expired,review,0,3,6,1,0,0,0,0,0,1,1,0,0,0,0,,0,10
expired-review-d2-h1,expired,review,2,1,6,1,0,0,0,0,0,1,1,0,0,0,0,,0,10
expired-review-d2-h3,expired,review,2,3,6,1,0,0,0,0,0,1,1,0,0,0,0,,0,10
expired-review-d6-h1,expired,review,6,1,6,1,0,0,0,0,0,1,1,0,0,0,0,,0,10
expired-review-d6-h3,expired,review,6,3,6,1,0,0,0,0,0,1,1,0,0,0,0,,0,10
revoked_pending-log-d0-h1,revoked_pending,log,0,1,3,3,2,0,0,2,0,1,1,0,0,0,0,,0,30
revoked_pending-log-d0-h3,revoked_pending,log,0,3,3,3,2,0,0,2,0,1,1,0,0,0,0,,0,30
revoked_pending-log-d2-h1,revoked_pending,log,2,1,3,3,2,0,0,2,0,1,1,0,0,0,0,,0,30
revoked_pending-log-d2-h3,revoked_pending,log,2,3,3,3,2,0,0,2,0,1,1,0,0,0,0,,0,30
revoked_pending-log-d6-h1,revoked_pending,log,6,1,3,3,2,0,0,2,0,1,1,0,0,0,0,,0,30
revoked_pending-log-d6-h3,revoked_pending,log,6,3,3,3,2,0,0,2,0,1,1,0,0,0,0,,0,30
revoked_pending-local-d0-h1,revoked_pending,local,0,1,3,3,2,0,0,2,0,1,1,0,0,0,0,,0,30
revoked_pending-local-d0-h3,revoked_pending,local,0,3,3,3,2,0,0,2,0,1,1,0,0,0,0,,0,30
revoked_pending-local-d2-h1,revoked_pending,local,2,1,3,3,2,0,0,2,0,1,1,0,0,0,0,,0,30
revoked_pending-local-d2-h3,revoked_pending,local,2,3,3,3,2,0,0,2,0,1,1,0,0,0,0,,0,30
revoked_pending-local-d6-h1,revoked_pending,local,6,1,3,3,2,0,0,2,0,1,1,0,0,0,0,,0,30
revoked_pending-local-d6-h3,revoked_pending,local,6,3,3,3,2,0,0,2,0,1,1,0,0,0,0,,0,30
revoked_pending-hierarchy-d0-h1,revoked_pending,hierarchy,0,1,3,1,0,0,0,0,0,1,1,0,0,0,0,,0,10
revoked_pending-hierarchy-d0-h3,revoked_pending,hierarchy,0,3,3,1,0,0,0,0,0,1,1,0,0,0,0,,0,10
revoked_pending-hierarchy-d2-h1,revoked_pending,hierarchy,2,1,3,1,0,0,0,0,0,1,1,0,0,0,0,,0,10
revoked_pending-hierarchy-d2-h3,revoked_pending,hierarchy,2,3,3,1,0,0,0,0,0,1,1,0,0,0,0,,0,10
revoked_pending-hierarchy-d6-h1,revoked_pending,hierarchy,6,1,3,1,0,0,0,0,0,1,1,0,0,0,0,,0,10
